"","name","year","latitude","longitude","city","region","zipCode","cuisine","price","url","stars"
"1","Kilian Stuba",2019,47.34858,10.17114,"Kleinwalsertal","Austria","87568","Creative","$$$$$","https://guide.michelin.com/at/en/vorarlberg/kleinwalsertal/restaurant/kilian-stuba",1
"2","Pfefferschiff",2019,47.83787,13.07917,"Hallwang","Austria","5300","European","$$$$$","https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff",1
"3","Esszimmer",2019,47.80685,13.03409,"Salzburg","Austria","5020","European","$$$$$","https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/esszimmer",1
"4","Carpe Diem",2019,47.80001,13.04006,"Salzburg","Austria","5020","European","$$$$$","https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/carpe-diem",1
"5","Edvard",2019,48.216503,16.36852,"Salzburg","Austria","1010","European","$$$$","https://guide.michelin.com/at/en/vienna/wien/restaurant/edvard",1
"6","Das Loft",2019,48.21272,16.37931,"Wien","Austria","1020","European","$$$$$","https://guide.michelin.com/at/en/vienna/wien/restaurant/das-loft",1
"7","Pramerl & the Wolf",2019,48.20945,16.37174,"Wien","Austria","1090","Creative","$$$$$","https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf",1
"8","Walter Bauer",2019,48.20923,16.37672,"Wien","Austria","1010","European","$$$$$","https://guide.michelin.com/at/en/vienna/wien/restaurant/walter-bauer",1
"9","SHIKI",2019,48.204067,16.37098,"Wien","Austria","1010","Japanese","$$$$$","https://guide.michelin.com/at/en/vienna/wien/restaurant/shiki",1
"10","Tian",2019,48.20513,16.37456,"Wien","Austria","1010","Vegetarian","$$$$$","https://guide.michelin.com/at/en/vienna/wien/restaurant/tian",1
"11","aend",2019,48.18957,16.34115,"Wien","Austria","1010","European","$$$$$","https://guide.michelin.com/at/en/vienna/wien/restaurant/aend",1
"12","Le Ciel by Toni M<U+00F6>rwald",2019,48.20209,16.37156,"Wien","Austria","1010","European","$$$$$","https://guide.michelin.com/at/en/vienna/wien/restaurant/le-ciel-by-toni-morwald",1
"13","Chez TJ",2019,37.39468,-122.08044,"South San Francisco","California","94041","French","$$$$","https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/chez-tj",1
"14","Prot<U+00E9>g<U+00E9>",2019,37.427853,-122.14362,"South San Francisco","California","94301","American","$$$","https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege",1
"15","Madera",2019,37.42014,-122.21151,"San Francisco","California","94025","American","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera",1
"16","The Village Pub",2019,37.42897,-122.25178,"San Francisco","California","94062","American","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-village-pub",1
"17","Plumed Horse",2019,37.25648,-122.03537,"South San Francisco","California","95070","American","$$$$","https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse",1
"18","Wakuriya",2019,37.52114,-122.3366,"San Francisco","California","94402","Japanese","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/wakuriya",1
"19","Sushi Yoshizumi",2019,37.565075,-122.3211,"San Francisco","California","94401","Japanese","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/sushi-yoshizumi",1
"20","Rasa",2019,37.577522,-122.345985,"San Francisco","California","94010","Indian","$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa",1
"21","Maum",2019,37.72669,-122.414215,"South San Francisco","California","94101","Korean","$$$$","https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/maum",1
"22","Al's Place",2019,37.748924,-122.42013,"San Francisco","California","94110","American","$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/al-s-place",1
"23","Aster",2019,37.755054,-122.423134,"San Francisco","California","94110","American","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/aster",1
"24","Omakase",2019,37.77077,-122.40298,"San Francisco","California","94103","Japanese","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/omakase",1
"25","Commonwealth",2019,37.761395,-122.41946,"San Francisco","California","94110","American","$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/commonwealth",1
"26","Luce",2019,37.78194,-122.40498,"San Francisco","California","94103","American","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/luce",1
"27","Birdsong",2019,37.779495,-122.41048,"San Francisco","California","94101","American","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/birdsong",1
"28","In Situ",2019,37.785633,-122.40113,"San Francisco","California","94103","Creative","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/in-situ",1
"29","Mourad",2019,37.78695,-122.39987,"San Francisco","California","94105","Moroccan","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/mourad",1
"30","Hashiri",2019,37.783062,-122.40754,"San Francisco","California","94103","Japanese","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri",1
"31","Angler",2019,37.793167,-122.39213,"San Francisco","California","94101","Seafood","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/angler",1
"32","Rich Table",2019,37.774914,-122.42271,"San Francisco","California","94102","American","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/rich-table",1
"33","Kin Khao",2019,37.785267,-122.40951,"San Francisco","California","94102","Thai","$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/kin-khao",1
"34","Michael Mina",2019,37.79349,-122.399574,"San Francisco","California","94102","American","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/michael-mina",1
"35","Sons & Daughters",2019,37.79037,-122.40917,"San Francisco","California","94108","Creative","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/sons-daughters",1
"36","Mister Jiu's",2019,37.79371,-122.406654,"San Francisco","California","94108","Chinese","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius",1
"37","Nico",2019,37.795803,-122.40333,"San Francisco","California","94101","French","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/nico",1
"38","Ju-Ni",2019,37.77672,-122.43886,"San Francisco","California","94117","Japanese","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/ju-ni",1
"39","Keiko a Nob Hill",2019,37.793106,-122.41445,"San Francisco","California","94109","Asian","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/keiko-a-nob-hill",1
"40","The Progress",2019,37.78371,-122.43282,"San Francisco","California","94115","American","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-progress",1
"41","State Bird Provisions",2019,37.783737,-122.43283,"San Francisco","California","94115","American","$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/state-bird-provisions",1
"42","Octavia",2019,37.787857,-122.42709,"San Francisco","California","94109","American","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia",1
"43","SPQR",2019,37.78732,-122.43375,"San Francisco","California","94115","Italian","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/spqr",1
"44","Lord Stanley",2019,37.79592,-122.42208,"San Francisco","California","94109","American","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/lord-stanley",1
"45","Kinjo",2019,37.79699,-122.422005,"San Francisco","California","94109","Japanese","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo",1
"46","Sorrel",2019,37.788334,-122.44614,"San Francisco","California","94101","American","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/sorrel",1
"47","Gary Danko",2019,37.80599,-122.42066,"San Francisco","California","94109","French","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko",1
"48","Bar Crenn",2019,37.798435,-122.43581,"San Francisco","California","94101","French","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn",1
"49","Spruce",2019,37.78772,-122.45264,"San Francisco","California","94118","American","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce",1
"50","Wako",2019,37.783035,-122.461525,"San Francisco","California","94118","Japanese","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/wako",1
"51","Madcap",2019,37.974712,-122.56168,"San Francisco","California","94960","American","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap",1
"52","Aubergine",2019,36.55406,-121.924355,"Monterey","California","93921","American","$$$$","https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine",1
"53","Kenzo",2019,38.29924,-122.28928,"San Francisco","California","94559","Japanese","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo",1
"54","La Toque",2019,38.30351,-122.28349,"San Francisco","California","94573","French","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque",1
"55","Bouchon",2019,38.40258,-122.3619,"San Francisco","California","94599","French","$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon",1
"56","Auberge du Soleil",2019,38.49199,-122.40534,"San Francisco","California","94573","American","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil",1
"57","Farmhouse Inn & Restaurant",2019,38.49039,-122.8835,"San Francisco","California","95436","American","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant",1
"58","The Kitchen",2019,38.58894,-121.41424,"Sacramento","California","95825","American","$$$$","https://guide.michelin.com/us/en/california/us-sacramento/restaurant/the-kitchen559371",1
"59","Madrona Manor",2019,38.60428,-122.88647,"San Francisco","California","95448","American","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor",1
"60","Harbor House",2019,39.135876,-123.719444,"San Francisco","California","N/A","Seafood","$$$$","https://guide.michelin.com/us/en/california/san-francisco/restaurant/harbor-house",1
"61","Shin Sushi",2019,34.15784,-118.49415,"Los Angeles","California","91436","Japanese","$$$","https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi",1
"62","Rustic Canyon",2019,34.024952,-118.49118,"Los Angeles","California","90401","American","$$$","https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon",1
"63","Dialogue",2019,34.01679,-118.49748,"Los Angeles","California","90401","American","$$$$","https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/dialogue",1
"64","Kato",2019,34.041683,-118.460915,"Los Angeles","California","90025","Taiwanese","$$$","https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato",1
"65","CUT",2019,34.067036,-118.401024,"Los Angeles","California","90212","Steakhouse","$$$$","https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418",1
"66","Nozawa Bar",2019,34.0683,-118.39849,"Los Angeles","California","90210","Japanese","$$$$","https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar",1
"67","Shunji",2019,34.028496,-118.45195,"Los Angeles","California","90064","Japanese","$$$$","https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shunji",1
"68","Maude",2019,34.064346,-118.39904,"Los Angeles","California","90212","Italian","$$$$","https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude",1
"69","Mori Sushi",2019,34.033398,-118.44229,"Los Angeles","California","90064","Japanese","$$$$","https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi",1
"70","Trois Mec",2019,34.084255,-118.33851,"Los Angeles","California","90028","French","$$$$","https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec",1
"71","Osteria Mozza",2019,34.08342,-118.338974,"Los Angeles","California","90028","Italian","$$$","https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza",1
"72","Kali",2019,34.083443,-118.32455,"Los Angeles","California","90028","American","$$$","https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali",1
"73","Le Comptoir",2019,34.06354,-118.30057,"Los Angeles","California","90020","French","$$$$","https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir",1
